scenario,classification,outcome,scope
happy,EXPECTED_SUCCESS_TERMINATION,SUCCESS,original directed regression
reject,EXPECTED_FAILURE_TERMINATION,HOLDER_REJECTED,original directed regression
cancel,EXPECTED_FAILURE_TERMINATION,CANCELLED,original directed regression
expire,EXPECTED_FAILURE_TERMINATION,EXPIRED,original directed regression
grade_reject,EXPECTED_FAILURE_TERMINATION,EVIDENCE_REJECTED,original directed regression
ledger_reject,EXPECTED_FAILURE_TERMINATION,LEDGER_REJECTED,original directed regression
bad_signature,EXPECTED_FAILURE_TERMINATION,INVALID_SIGNATURE,original directed regression
bad_issuer_signature,EXPECTED_FAILURE_TERMINATION,INVALID_ISSUER_SIGNATURE,original directed regression
grade_reject_waiting,EXPECTED_FAILURE_TERMINATION,EVIDENCE_REJECTED,original directed regression
cancel_submitted,EXPECTED_FAILURE_TERMINATION,CANCELLED,original directed regression
cancel_waiting,EXPECTED_FAILURE_TERMINATION,CANCELLED,original directed regression
expire_submitted,EXPECTED_FAILURE_TERMINATION,EXPIRED,original directed regression
expire_waiting,EXPECTED_FAILURE_TERMINATION,EXPIRED,original directed regression
bad_issuer_signature_submitted,EXPECTED_FAILURE_TERMINATION,INVALID_ISSUER_SIGNATURE,original directed regression
bad_issuer_signature_waiting,EXPECTED_FAILURE_TERMINATION,INVALID_ISSUER_SIGNATURE,original directed regression
P7_ACCEPT_OVER_DENIAL,PROPERTY_VIOLATION,SUCCESS despite invalid issuer signature,one new competing-order witness
